School,Rush Rank,Pass Rank,Tot Off Rank,Rush Def Rank,Pass Def Rank,Score Def Rank,Punt Ret Rank,KO Ret Rank,TO Margin Rank,Penalty Yds Rank,Def Punt Ret Rank,Def KO Ret Rank,Def Sacks Rank,Def Tckl Loss Rank,Off 3rd Dwn Rank,Def 3rd Dwn Rank,Off 4th Dwn Rank,Def 4th Dwn Rank,Wins,Losses,Ties,Win Pct
California,9,90,26,24,80,26,5,75,88,39,102,57,30,23,87,49,37,52,8,4,0,66.67
Central Mich.,46,26,35,20,108,46,38,61,30,111,35,87,33,18,80,19,112,20,6,5,0,54.55
Cincinnati,82,83,93,90,64,96,88,102,95,44,74,110,60,36,106,67,20,109,4,7,0,36.36
Clemson,50,45,53,25,29,11,86,35,16,8,46,88,25,13,60,32,31,42,8,4,0,66.67
Colorado,97,59,87,11,87,45,44,83,53,116,39,100,67,78,94,54,51,36,7,6,0,53.85
Colorado St.,89,16,38,115,39,91,39,69,35,32,85,27,104,106,35,89,78,88,6,6,0,50.00
Connecticut,34,106,94,45,4,21,43,11,41,23,82,19,44,12,100,1,75,3,5,6,0,45.45
Duke,81,113,116,108,36,111,97,40,100,84,73,32,89,68,96,80,9,58,1,10,0,9.09
East Caro.,71,29,47,112,20,79,92,100,55,18,63,82,85,53,70,111,61,49,5,6,0,45.45
Eastern Mich.,85,60,80,103,46,67,103,59,13,40,77,7,75,95,67,99,26,25,4,7,0,36.36
Florida,56,51,61,10,38,18,83,57,3,87,2,50,25,60,58,33,45,20,9,3,0,75.00
